emoji,sentiment
😀,EMO_POS
😃,EMO_POS
😄,EMO_POS
😁,EMO_POS
😆,EMO_POS
😅,EMO_POS
😂,EMO_POS
🤣,EMO_POS
😊,EMO_POS
😇,EMO_POS
🙂,EMO_POS
😉,EMO_POS
😍,EMO_POS
😘,EMO_POS
😗,EMO_POS
😙,EMO_POS
😚,EMO_POS
🥰,EMO_POS
😋,EMO_POS
😎,EMO_POS
🤩,EMO_POS
🥳,EMO_POS
🤗,EMO_POS
❤️,EMO_POS
💛,EMO_POS
💚,EMO_POS
💙,EMO_POS
💜,EMO_POS
🧡,EMO_POS
🩷,EMO_POS
🩵,EMO_POS
💖,EMO_POS
💞,EMO_POS
💓,EMO_POS
💗,EMO_POS
💝,EMO_POS
💯,EMO_POS
✨,EMO_POS
🔥,EMO_POS
🎉,EMO_POS
🎊,EMO_POS
👍,EMO_POS
👏,EMO_POS
🙌,EMO_POS
🤝,EMO_POS
🤞,EMO_POS
💪,EMO_POS
😺,EMO_POS
😸,EMO_POS
😻,EMO_POS
🐱,EMO_POS
🌞,EMO_POS
🌟,EMO_POS
🌈,EMO_POS
🌹,EMO_POS
💐,EMO_POS
🍀,EMO_POS
🥂,EMO_POS
🎶,EMO_POS
😌,EMO_POS
😺,EMO_POS
🫶,EMO_POS
😞,EMO_NEG
😟,EMO_NEG
😠,EMO_NEG
😡,EMO_NEG
🤬,EMO_NEG
😢,EMO_NEG
😭,EMO_NEG
😤,EMO_NEG
😩,EMO_NEG
😫,EMO_NEG
😖,EMO_NEG
😣,EMO_NEG
😔,EMO_NEG
☹️,EMO_NEG
🙁,EMO_NEG
💔,EMO_NEG
👎,EMO_NEG
😒,EMO_NEG
😕,EMO_NEG
😓,EMO_NEG
😿,EMO_NEG
😾,EMO_NEG
😾,EMO_NEG
💀,EMO_NEG
🤢,EMO_NEG
🤮,EMO_NEG
😰,EMO_NEG
😨,EMO_NEG
😱,EMO_NEG
😧,EMO_NEG
😥,EMO_NEG
😪,EMO_NEG
🥀,EMO_NEG
😬,EMO_NEG
🙅,EMO_NEG
🙍,EMO_NEG
🤦,EMO_NEG
😳,EMO_NEG
🥵,EMO_NEG
🥶,EMO_NEG
🫤,EMO_NEG
😵,EMO_NEG
😵‍💫,EMO_NEG
🥴,EMO_NEG
🤯,EMO_NEG
😷,EMO_NEG
🤒,EMO_NEG
🤕,EMO_NEG
🤧,EMO_NEG
😔,EMO_NEG
😓,EMO_NEG
😐,EMO_NEU
😑,EMO_NEU
😶,EMO_NEU
🤔,EMO_NEU
😬,EMO_NEU
🤨,EMO_NEU
😮,EMO_NEU
😯,EMO_NEU
😲,EMO_NEU
😴,EMO_NEU
🤫,EMO_NEU
🤭,EMO_NEU
😶‍🌫️,EMO_NEU
🫠,EMO_NEU
😏,EMO_NEU
😒,EMO_NEU
🙄,EMO_NEU
😗,EMO_NEU
😚,EMO_NEU
🤨,EMO_NEU
🤔,EMO_NEU
🫢,EMO_NEU
🤷,EMO_NEU
🫤,EMO_NEU
😴,EMO_NEU
💤,EMO_NEU
🫠,EMO_NEU
🤐,EMO_NEU
🤨,EMO_NEU
🫡,EMO_NEU
😶‍🌫️,EMO_NEU
🫥,EMO_NEU
😯,EMO_NEU
😮‍💨,EMO_NEU
😑,EMO_NEU
